"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"grow.bclim[1,1]",-0.264474527397494,31.734932161169,-62.5569487043941,-21.2499617802761,-0.642287144308743,20.932771575547,62.1433043729478,1.0011385207683,5900
"grow.bclim[2,1]",0.137200259408382,31.3024597610434,-60.3579293188807,-21.1553839386235,0.2423749470767,21.0821811410831,61.6590177864339,1.00137561702274,3500
"grow.bclim[3,1]",-0.552712023257578,31.7669472520535,-61.6568653727212,-21.6875516475009,-0.831010680762561,21.1262813989888,61.7547539163828,1.00090881540431,7500
"grow.bclim[1,2]",0.171920630181265,31.3779648004215,-62.0872896970869,-20.6429847457564,0.489860885938385,21.2853619078417,61.1008436342928,1.00100000625614,7500
"grow.bclim[2,2]",0.0158051620064041,31.6456710240683,-60.80216025004,-21.4055523497762,-0.89966972677256,21.0117809247147,62.4520951056807,1.00092420647974,7500
"grow.bclim[3,2]",0.0217566908752847,31.2834214516345,-60.9336216476754,-21.4613416832394,-0.151079611563445,21.3919339171519,61.2075867753269,1.00092744970779,7500
"grow.bclim[1,3]",0.185081193740935,31.8209436700664,-61.196405104141,-21.4827081608815,0.185336007746993,21.890564047543,62.5174097224622,1.00127913169689,4200
"grow.bclim[2,3]",-0.0606193484512159,31.5998580602489,-61.7204469577229,-21.5190516878474,-0.0589702470653016,21.4770650898951,61.9168232874576,1.00105941589299,7500
"grow.bclim[3,3]",-0.292029970848202,31.4293383898179,-61.1061555775978,-21.3779266905297,-0.877700744490864,20.3544447489017,62.5645822503436,1.00171208584733,2200
"grow.bsize",-0.0245793553332229,0.00410650275207104,-0.0326202360849759,-0.0273466353476239,-0.0245813009019458,-0.0218269851583176,-0.0164747580231099,1.00083141786804,7500
"grow.eps.year[1]",-0.0731043833991793,0.033768604526614,-0.140634859466468,-0.0953891122168349,-0.0729535579420582,-0.0502744469040926,-0.00862486485631005,1.0009263364133,7500
"grow.eps.year[2]",-0.0170011331244859,0.0336554748149111,-0.0844752316032417,-0.0395069092312961,-0.0172974920376646,0.00551071205092313,0.0485988934724979,1.00105509937132,7500
"grow.eps.year[3]",0.0286221011481206,0.0335877207223005,-0.0363284969015309,0.00653629347993519,0.0286416853522909,0.0509153106627015,0.0947078365126816,1.00082448420841,7500
"grow.eps.year[4]",-0.0639659034497329,0.0338118293426147,-0.132819534647675,-0.085760926327306,-0.06350368021135,-0.0414838406754765,0.0012028237671643,1.00096221870336,7500
