"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"grow.bclim[2,3]",0.013033468570169,0.015040865768584,-0.0184475727587418,0.00345633457585193,0.0136096766729488,0.022940432755951,0.0416123577901925,1.0008668094117,9000
"grow.bclim[3,3]",-0.0337507958441947,0.00591589682634706,-0.0455285330157834,-0.0376420462332235,-0.033744335269259,-0.0298099675756391,-0.0221342319935273,1.000961127093,9000
"grow.bclim[4,3]",-0.00675546365643762,0.00351560699466011,-0.0137164726064045,-0.00908656284981172,-0.00676238845276667,-0.00442700429124388,8.51854251362702e-05,1.00098958076014,9000
"grow.bsize",-0.10122370397118,0.0353464044421691,-0.171191923163897,-0.127216941998817,-0.0987719924414408,-0.0741054007834178,-0.040140389695298,1.00122238576406,5100
"grow.fit",321.455387886701,0.515626712900545,320.581425010163,321.080597913827,321.41056522515,321.781847477572,322.548748641476,1.00137037633491,3700
"grow.fit.new",321.657325463004,9.06620371108606,304.116875719036,315.43028571185,321.543030173717,327.588666410955,340.220265112263,1.00099187178811,9000
"grow.mu",0.00251992928106021,0.071671249941098,-0.14149349074652,-0.0418576683946159,0.00450983577990155,0.0471447923264424,0.142430094968478,1.00094424186007,9000
"grow.sigma.eps",0.252871106967163,0.00253180914064811,0.248031786967786,0.251158836733503,0.252880455438085,0.254568366991649,0.257924335338564,1.00094580947615,9000
"grow.sigma.plot",0.0219769032643495,0.00807243970599821,0.0103412160808222,0.0163985896517876,0.0206144798256696,0.0260506269045564,0.0411761175199312,1.00114326964408,6400
"grow.sigma.year",0.073340283429604,0.0286801952625383,0.0351826546496757,0.0534961418739173,0.0679768961243704,0.086393546658496,0.144843244909729,1.00090891198094,9000
"grow.z[1,1]",0.0365555555555556,0.187678343444552,0,0,0,0,1,1.00084498711158,9000
"grow.z[2,1]",0.0108888888888889,0.103785923048205,0,0,0,0,0,1.00338193592051,9000
"grow.z[3,1]",0.0321111111111111,0.176304966946563,0,0,0,0,1,1.00129483253403,9000
"grow.z[4,1]",0.00977777777777778,0.0984034997143629,0,0,0,0,0,1.00847790823038,5900
"grow.z[1,2]",0.0412222222222222,0.198814844878931,0,0,0,0,1,1.00646100286467,1900
"grow.z[2,2]",0.0147777777777778,0.120669022338197,0,0,0,0,0,1.01761889555977,1900
"grow.z[3,2]",0.0123333333333333,0.1103747065308,0,0,0,0,0,1.00429746225699,9000
"grow.z[4,2]",0.0126666666666667,0.111837435400156,0,0,0,0,0,1.00442330866378,8700
"grow.z[1,3]",0.0211111111111111,0.143762750784216,0,0,0,0,0,1.0009046024639,9000
"grow.z[2,3]",0.0146666666666667,0.12022130203248,0,0,0,0,0,1.00151301287644,9000
"grow.z[3,3]",0.0177777777777778,0.132150175189844,0,0,0,0,0,1.00383580744145,7100
"grow.z[4,3]",0.00988888888888889,0.0989554788083314,0,0,0,0,0,1.01352070241762,3700
"grow.zsize",0.545333333333333,0.497968313632881,0,0,1,1,1,1.00115552559207,6200
"surv.bclim[1,1]",0.0568955699617446,0.230598813779602,-0.0749201887583496,-0.0166170507433601,0.00829374316269154,0.037338954916495,0.667469852017839,1.02219462350776,1700
"surv.bclim[2,1]",-0.0079415499825555,0.0472951725802033,-0.0726137262235328,-0.0295468877524847,-0.00918972745312955,0.0107173034659704,0.0580434417126656,1.02582376725588,3900
"surv.bclim[3,1]",0.00605084495760488,0.0525014128798858,-0.0653440207972662,-0.0186501369221648,0.00353947549726508,0.0258073560956899,0.0887123960116824,1.00310648267626,9000
"surv.bclim[4,1]",-0.014833069766686,0.0153475053253789,-0.0423382625598077,-0.0245867981045236,-0.0151643740470275,-0.00578170382260134,0.0150819071618084,1.00091535853902,9000
"surv.bclim[1,2]",0.080867214913437,0.206291844478418,-0.0592401704245102,-0.0113438004263459,0.0136640814182138,0.0490847480173843,0.683749961454462,1.00091300844764,9000
"surv.bclim[2,2]",0.0131257998119116,0.0582359324216968,-0.0592750217927981,-0.0127920025888729,0.00905379896389782,0.031870131073342,0.139515675587576,1.00267624686896,7900
"surv.bclim[3,2]",0.00735520543029103,0.0363549279165242,-0.0556406756136892,-0.0144555961731256,0.00643026944578984,0.0268985701173092,0.0757114139405827,1.00097735355731,9000
"surv.bclim[4,2]",0.0086002170898502,0.0270653163271306,-0.0438047476410178,-0.00923680596744285,0.00848982380851952,0.0263647089272546,0.0615106954253366,1.00111911061211,7000
"surv.bclim[1,3]",-0.0663688798058035,0.175998131483086,-0.609057650022044,-0.0449634082369057,-0.0127075682237781,0.0125117284506912,0.0622190613422871,1.00146300723264,9000
"surv.bclim[2,3]",0.02940117960553,0.0916220940174766,-0.058287494854442,-0.0127757571941195,0.0111786617173351,0.037444807503666,0.317675089283755,1.00088444599992,9000
